"polygon_id","total_volume","total_length"
607,239.019719363118,82.5
948,324.400644363795,104.5
933,207.270227623181,122.5
606,151.225804273469,51
603,67.7278156081555,25
953,725.492979542578,237.5
605,75.8087764647588,28.5
954,434.236658785055,185
940,401.114071916235,152.5
602,139.48765396474,63
945,35.6457001314945,14.5
944,36.331271868253,15
943,43.1178047088199,15.5
627,25.6935105146389,15
625,70.1018955236526,29.5
931,286.754311223064,91
956,590.63660828017,231.5
955,435.222795399477,176.5
629,110.595681177035,57.5
616,79.1236692650542,31.5
624,137.441294126916,60.5
1493,200.846751714662,67
618,55.3898907888425,18.5
646,66.8034140635905,29.5
619,37.1060946171114,14.5
623,168.125550366059,73
1494,61.7192897912474,26.5
617,26.4704896204362,11.5
194,170.478802690518,52
958,152.255024615101,48
932,378.409537758645,176
952,408.414790706857,122
939,112.039526940307,41.5
1442,160.799683352177,57
937,490.540205627571,186.5
959,81.1048711931517,36.5
1443,390.71514578715,79
936,465.984197767105,161.5
641,93.3297386883915,37.5
1432,156.23229925828,62.5
935,66.0788110047742,28.5
1433,92.6875747910589,23
634,66.3838625568104,36
635,175.070324981017,76.5
660,496.236840122373,111.5
633,106.097427475127,51
1379,338.760909457102,102.5
964,318.858866993446,141
966,188.740747869207,71
662,72.0068836401512,34.5
661,91.631291815411,43
851,78.7226330117416,38
967,455.334016098195,143.5
968,308.995052091435,126
971,65.1226640726507,22.5
178,284.361908307533,111
852,28.0600957343717,17.5
972,314.488039288581,126.5
847,277.333438716693,111.5
181,60.3045615564402,25.5
199,27.6551640657302,14
200,47.2013044859467,20
974,295.166125155953,153.5
182,124.038761973272,39
191,119.012605138371,53
978,344.311868011139,144
185,60.9215675315882,25.5
1497,311.054728137114,118
979,332.076919526329,133.5
160,83.8651167247442,40
162,279.895402120056,64.5
157,67.268817027417,27.5
1499,342.449246414814,115.5
848,175.743587278169,87.5
857,100.57429795825,30
980,246.352384462488,109
850,212.682531899868,104
1500,237.714300233254,94
213,58.1232358440815,22
159,40.9837701236858,16.5
986,685.370380216763,230.5
903,36.5211866121073,16
163,363.666048709386,105.5
158,70.4587919685748,33
214,45.1415091228019,17.5
1301,88.8311154418066,26.5
211,50.0436158264036,24
1298,90.3637827695931,29.5
188,36.9044875773915,16.5
212,60.7634125129242,22.5
186,61.9873723947063,18.5
811,594.9823792248,211
1425,294.491475086302,66.5
1300,82.7112674088343,24.5
904,53.142869766503,20.5
1293,55.4572446247369,22.5
190,49.9864069852174,17.5
1292,35.1153510371,17
990,159.232196094248,56
1434,132.419598172582,38
1003,748.085152690323,154.5
812,526.238276424404,190.5
1297,92.9176346527557,28.5
1296,88.2554420695674,29.5
1299,72.3385557097123,26.5
653,64.6798661029434,29
859,139.925274274601,51
991,36.2555460447076,17
1435,242.428294172532,76.5
1291,154.618439524688,50
1290,239.740596997492,66
1504,58.3247440115548,25
206,165.321039631906,46
166,468.187068369206,129
205,37.9163772522071,13.5
992,30.3846588230248,12
682,277.970067257772,99
1289,150.35057385047,51.5
656,104.336782441534,29
1513,40.5870102386566,20.5
654,70.0009811379326,33.5
125,226.578544638667,93.5
146,110.180461980477,41.5
1288,139.448691071216,49
780,333.360531011768,140.5
996,92.5430636396222,33
1004,537.009835741384,165.5
997,102.721512893612,32
1001,138.001940366612,57
147,91.4985096667262,34.5
1286,203.846600589624,58
1018,669.536751872497,212
782,169.128527519771,79
1010,38.7827775145628,18.5
202,162.239839846931,58.5
1284,205.398683806406,59
1507,153.612006264934,67.5
884,534.150439168844,181.5
781,12.4586721925655,6
800,54.5119817989359,15.5
778,328.106873973255,74.5
783,26.5420225056263,10
1512,209.390796400876,96.5
758,72.6829073546533,30
1285,184.389137582168,59
1509,170.919461517562,75
1016,182.641608948589,86
684,120.813628852297,50.5
230,148.107297017156,53.5
1025,262.075271630605,81
1026,622.227711959369,183
648,173.603208938785,54.5
1029,324.150282104261,149
763,135.054061001493,62
1514,169.365348232752,54.5
229,64.9330394634596,26.5
226,74.0474812838549,21
1007,40.5551606254459,10.5
169,413.794324528259,125.5
225,72.7375257830504,21.5
228,68.3619689998028,26
766,482.453491943274,126.5
1019,434.880215770385,205
224,97.1462450737914,28.5
883,888.89733746701,273
767,349.832118942145,107
1561,151.244887058691,50
1562,156.2153676507,72
220,56.6326026351138,24.5
757,240.634181916145,78.5
1006,373.757046393615,77
221,49.3336323988676,26.5
820,262.671476106193,98
1030,93.9222794500916,46
900,441.391811949236,149
1023,414.190096867691,133.5
215,38.9689547331678,20.5
899,455.088159489086,116
1031,141.869561806743,69
589,154.494564923101,65.5
1036,373.218269655513,127
241,70.1886558043632,26.5
740,347.532267704607,120.5
256,32.6935803193029,14.5
255,56.1264961833554,24.5
1037,165.199629119856,49
253,50.6471316450156,16.5
254,53.3339136851825,23.5
1269,105.761274613147,31
1267,105.493941268543,30.5
1266,91.2030578576313,30.5
1035,481.873480736928,136
1071,274.382663551598,72.5
1258,1136.58185993605,276.5
840,58.2868111310271,16.5
1246,57.1811445943017,24.5
1238,56.6018104829846,21
12,107.767318687055,25
250,117.048632670527,43.5
235,161.433891068206,48.5
234,206.613108339017,45.5
1256,1072.92295801336,255.5
1243,56.8023042303515,21
249,144.032882059857,51
1245,47.1796871467382,23.5
1260,773.754305961217,222.5
233,147.495527769461,41.5
1239,110.015377653306,47
1242,25.4557722706304,14
248,50.0242667500318,23
232,139.028654480379,39
247,28.6670820213697,10.5
1240,210.873107360803,87.5
1237,256.568536604405,90
1542,297.596178668525,82
278,42.2761623186308,18.5
1247,314.174231520272,96
277,35.019612221314,14.5
1543,212.826984143344,46
262,131.87486828795,36.5
261,188.078317838917,49
1253,452.71061523685,182
1441,911.604116694766,261
769,89.2321657531009,53.5
260,213.242001962142,58.5
1264,189.582352808174,64
1317,146.611865431904,64
1318,173.087464870197,69
901,273.441940466287,69
274,147.952172414139,45
1270,505.333649058807,151
27,358.895293388101,92.5
691,32.8137167142553,17.5
1282,649.895701440736,216.5
271,158.889821584954,55
273,103.737680612639,40.5
593,42.9336783392412,17
595,121.732752160097,43
681,25.7136117743662,10.5
1223,468.347147106638,143
43,40.8202538595793,16.5
1268,508.860781394888,162.5
1224,596.302701543765,203.5
710,1.23931983357062,2
1320,293.802767500538,99
878,476.509799574178,205.5
1319,329.926457152276,97
1446,647.639641980976,161
1249,202.849089546886,92
685,21.7804375293037,12.5
268,39.9409449306513,19.5
1261,371.759028466241,140.5
1225,635.970239093011,222
1436,21.3055534056659,11.5
568,24.8916351217711,14.5
477,124.973561588309,63
270,179.454890257164,59.5
567,33.8972512019345,14
1273,388.308080604538,138.5
563,15.6164131467586,18
263,134.688783857711,50
586,25.3866249251979,13.5
1326,562.161124413256,146
566,35.9514039491059,17
269,248.249618639808,69.5
1283,196.846353603687,95.5
1325,306.422501833239,96.5
266,75.2391644097389,25.5
594,286.826323763464,92
265,43.9425150429487,20.5
267,103.593127668965,28
1074,140.300836158811,46.5
289,129.054913117776,53.5
890,836.848277205555,277.5
1055,232.859459807052,60.5
1085,188.837835742949,67.5
123,59.7413517601935,22
1221,350.19818925992,126.5
290,127.526538196882,52
1053,236.576117715131,67.5
291,72.467071160183,27
549,151.417270142424,89.5
387,54.1318364856443,25.5
1272,694.134987411491,181
1218,446.973665704455,118
284,39.5757057873058,20.5
550,33.4205872805417,15
546,66.4076563518607,48.5
279,77.8836624312606,20
1281,399.021392080401,112
288,120.161647284032,49
1251,424.368971693789,184.5
18,231.008896311682,98
465,174.013444101089,88.5
1039,383.112535476913,101
293,66.0508240755594,33.5
310,70.4021182646201,22
386,13.4538503148709,6
1222,379.925979922999,105.5
1215,1002.4438979468,380
292,58.7257572337649,29
573,79.1111668796684,42
281,52.6795730267835,25
1054,167.530128680004,41.5
1217,324.41646702139,122.5
1041,242.036863151283,64
1327,117.708720674601,35
88,93.2512545216722,26
1279,307.843875860265,86.5
1216,339.465353527677,104
1324,326.359419605353,77
1226,71.4290268668006,26
1061,25.5599088414369,9
1278,323.296801572866,107.5
1042,134.712490447199,52.5
1047,50.9298893680439,14
518,31.9377221011382,10.5
1228,445.995477999854,201.5
307,37.9307612932528,12.5
1450,208.862893216558,100.5
1303,880.778786631533,282.5
1322,959.546474010478,261
1280,193.08864746743,73.5
1321,202.761425755792,74
1045,48.8915548034502,17.5
1043,205.738171871033,72
570,25.1740079856102,14
1276,287.452630399684,104
1231,530.00421859978,184.5
324,135.519231182979,44.5
466,550.677675890646,201.5
520,34.0268030758129,11.5
1056,296.294932219543,121.5
1212,218.122568943709,78.5
121,33.4028240238101,13
521,30.1657203363693,11
876,635.99341918736,211
1213,388.529495375571,162.5
5,538.699881961734,230
1051,117.760858457506,38
1232,410.107587694649,160.5
1088,143.397541281665,44.5
522,28.2665505693625,10.5
1219,435.007249475235,150
1234,113.033767505149,34.5
523,20.48836920245,10
1057,78.1491422898771,24
524,35.4658947397775,11.5
1323,270.226517167224,76.5
1235,319.053954676138,102.5
1089,136.514429522191,53.5
1453,609.860544215773,134
585,495.049982236167,134.5
879,421.204354332478,196
342,367.573833862322,110
95,173.755149199482,103.5
1086,146.804746249715,58
880,777.994046265874,216
1090,149.33456858578,53
1220,169.084465537718,73.5
326,66.5082678555492,27.5
1422,20.1435068080039,14.5
1236,335.835364747087,99.5
1097,825.738788441064,277
295,85.0261156761189,29
9,52.3638607240758,19
467,368.32619974224,118
530,20.7239708511746,11.5
529,10.2065791705079,8
1229,293.609005271062,134
501,25.110313800519,18
1421,42.2782444037687,21
4,460.318453160465,182.5
94,50.7245727869157,27
1378,266.586108428995,84.5
1066,170.671425445539,64.5
489,49.6960289807203,29
894,62.1260609507746,29.5
1438,19.9121093131608,12.5
502,26.1082679302447,9.5
1439,15.0552548828223,8
96,247.397032278047,103.5
1093,209.678627622439,85
528,13.928238795431,9.5
102,19.6252059369401,9
103,23.0379074325509,10.5
129,335.317023911963,138
496,438.062599838432,160.5
359,48.7473549360562,22
301,210.837813016892,59.5
100,21.8384497019746,9
527,88.6120681830271,24
360,385.375641842748,87.5
68,31.9241837883812,16
323,30.3919703605085,13
551,87.2289868607225,28.5
1210,170.219320383792,38
1102,133.271108675386,48.5
557,63.6107214944311,52.5
322,17.9179407702452,8.5
69,20.2312831404305,15
1083,109.372394964217,60
891,640.058690929419,182.5
321,12.4443186251017,5.5
456,304.570616702948,108
532,113.227503506507,31
133,83.7760590711822,29
1424,657.909618764119,196.5
531,142.238423341685,58
320,50.1596954399693,16.5
468,386.368459439851,140
458,466.301729553887,147.5
484,78.914753114754,30
312,45.8714819500365,15
923,20.0528536385061,9
315,61.0076741408824,20.5
1482,52.8644929680442,17
462,111.63956275183,77.5
132,58.8114464277787,20.5
131,76.8390922897957,24.5
316,46.5045137207488,17.5
925,24.2697290933674,11.5
1095,84.9535984769125,28.5
926,32.4158196947875,12.5
317,78.7129273666516,27.5
927,34.6741878261524,13
114,102.960637095076,28.5
314,416.884444212754,128
1076,82.1878147561622,41
515,70.4228777625222,50.5
135,353.249879262545,70
112,98.8770632320471,30.5
74,40.0102989246521,21
2,108.12223972762,54.5
1336,652.716589668939,186
538,138.441014630602,37
482,42.8386393473014,24
552,68.1249245499313,27.5
537,93.3539824094354,35
1304,557.132313228909,191
137,140.51705010052,44
1417,186.910696764058,66
493,28.5644752096525,12.5
1104,59.0590152232603,18
461,78.1865858326984,21.5
535,113.762616854126,36.5
1415,143.5740350596,41
3,582.758256901172,214
1488,43.5330049188563,19
136,36.2009856984263,13
554,85.8468880843541,34
556,68.7422167009301,28.5
1470,477.18579790869,127.5
440,381.608391355942,135.5
873,253.669428509809,107.5
1099,772.113110269733,273.5
1182,18.1766459658799,10
8,308.996011920519,128.5
109,16.279013690108,6.5
583,82.5563150290301,28
306,133.437217130104,56.5
117,103.107913991893,36.5
341,13.2347002202126,5.5
128,132.612672556515,34.5
119,120.137899381967,47.5
584,81.2840331432856,26.5
1080,27.2217548747338,13.5
513,51.4060881858524,32.5
127,136.533413432669,33.5
1079,31.1123411264032,13.5
1136,61.5351667041977,30.5
339,20.7890911984472,11.5
338,9.360725160674,8.5
512,68.5156988284823,36.5
1077,22.0917022977687,10
337,20.1139551478384,8.5
542,69.3114737924121,38.5
303,79.5389937342273,25.5
118,283.126320467029,107
336,15.6904129283349,9.5
1208,262.214227856298,83.5
1471,7.76516228598637,10.5
116,182.405871929363,65.5
1211,467.822837217399,175.5
492,18.4305330048185,11.5
377,157.677323755823,36.5
1179,209.553922900151,87
335,21.5021049174566,13.5
1364,66.4437804227298,24
514,66.9586813841113,39.5
1207,1003.89966485907,247
1333,302.586673466637,91.5
333,29.7788050290013,14
334,77.0947663750899,34.5
1362,31.2583019881662,11.5
1401,273.000399178266,56.5
115,408.224792808821,142
452,106.961531473531,45
1400,148.277376673993,49
328,99.8401702157717,32.5
930,452.694207625612,63
1134,166.930126338091,70
1476,75.1914318825932,25.5
1359,87.0080910963084,35.5
1354,128.653064288963,39.5
453,135.710992924386,49.5
7,781.911497112534,264
329,117.335449659692,54.5
1205,161.966993241357,77.5
1356,141.231273837664,46
1484,54.3550463284124,22.5
327,59.8860198502439,27.5
1357,137.972270260876,44.5
834,248.393951448582,82.5
424,99.5236996960176,39
355,63.2398480346565,22.5
423,139.65984201934,48.5
1110,454.608630595103,238
833,195.473892261766,79
1475,510.066721420019,181
829,364.297204541641,99
1202,155.306915944999,59
442,327.057209413458,105.5
426,85.6366653489146,28
353,34.46512031515,14
1367,172.820797869168,66.5
1371,278.345436290092,99
1370,280.304529580324,73.5
1204,167.094972388726,62.5
1366,80.9845207250296,36.5
1129,92.8871478476604,50.5
1111,367.049501801529,144.5
1372,521.295986341788,173
371,30.0139086837395,14
1112,302.457860835377,148.5
1393,201.633989413269,55
384,176.248834251451,48
1373,613.513788891218,239.5
349,13.2574949438673,7
382,99.43858531681,27.5
575,239.507564799423,84.5
366,68.7247132476595,33.5
348,15.6687735338651,7
370,24.8684270099831,13
381,114.991952126788,32.5
379,223.760413318976,54
919,375.199273689682,133
152,176.309641474784,61
1392,156.250093618582,57
1351,194.848273474261,55.5
1353,68.0548244261295,21.5
1369,229.497644910553,71
380,106.45285208745,34
148,399.326172336874,121.5
1119,74.8370533398344,32.5
1130,28.7624029878795,17
1376,157.868077490291,74
1173,142.608108487368,50.5
1172,113.314081254413,53.5
1472,494.598225969743,134
832,97.5179591112773,51.5
1352,144.653648949433,45.5
1391,76.2915153219061,27
1465,548.222667714242,227.5
1174,191.562622717489,65
445,355.117148398009,100.5
1394,154.751010709086,65
1198,45.0564293953895,18
1113,413.815945745679,132
1118,162.399672050405,69
356,22.7981968797524,12
1186,259.040362671365,79
1531,70.7470439522416,28
1385,115.107703583118,50
1386,97.4661400554789,50.5
1377,371.096807661568,121
1382,376.163047503993,167
1532,110.290739007051,45.5
1349,688.10484178604,215.5
374,256.609224340485,64.5
1120,77.1851546973047,31
1126,119.166165070655,33.5
1387,171.374049340451,82.5
1533,59.840836868515,20.5
1350,163.334160165263,52
1540,116.989421500836,54
405,214.448214883442,77
1539,112.819482735678,44.5
404,25.690198591144,13
1197,114.613990844619,44
403,33.8602006557126,16
1338,347.677170890367,133.5
1547,1176.04500153575,417.5
1347,80.2201035654894,31
1381,935.340810964169,234.5
1559,377.836378220858,156
1345,21.1854905262278,12.5
401,65.6488364837733,20
395,75.4220948234041,35
446,142.329349457579,50.5
474,108.583775768064,47.5
1565,509.153529421911,194
1348,282.964407975131,109.5
1344,22.2755798078003,13.5
1190,231.405820934591,78.5
1544,1018.16965166008,338
1516,1023.54889396899,325
1196,261.179161443981,97
392,168.72831697387,49.5
1341,89.6948829070649,28.5
1342,40.2428669939348,20.5
364,89.2815617081267,39
1343,69.3774481276812,27.5
581,48.2401277233055,22.5
369,482.242394757241,145.5
368,435.5671774374,145.5
1584,65.4828926881447,33
390,296.42698360199,83.5
1583,61.1614937429548,26
397,54.415646200523,18
1335,565.085004091642,209.5
808,109.581163933355,60.5
1125,144.571274988642,41.5
421,344.270602312608,102.5
107,249.42187907072,101.5
420,384.99338002479,103.5
419,306.457646072943,98
1139,227.849008144387,119
1515,388.98398481338,147
80,32.336601180096,14
82,397.253230793286,139.5
108,132.005625968627,47.5
416,124.090041674577,44
1576,74.2350118402063,18.5
1175,256.011751240016,100
1138,468.437815758066,233.5
415,112.866753096237,42
1517,338.022624140847,134.5
1555,198.550390529949,75
1566,553.094880835284,197
917,202.443239426137,127
1519,39.2029318964793,22
412,63.9474054600038,19
1184,62.1344778206105,21.5
1521,598.347616591199,221
1312,60.8839636477572,18.5
