polygon_id,avg_elev,avg_min_elev,avg_max_elev
1555,20.223657734346705,20.10491798097724,20.330956781147332
1566,20.314226295374617,20.17330882398388,20.445060845870007
917,20.114827668433097,20.00219789392808,20.40765760085162
1519,20.078263982137045,20.014867740207247,20.163018968370224
412,20.087989415877903,19.96625122657189,20.252495252169094
1184,20.066100944172252,19.981853355060924,20.169546214017
1521,20.212003643302833,20.0929517250836,20.321102426498793
1312,20.144782718859222,19.99987301073576,20.246556783977308
1334,20.16414754679709,20.04228552904996,20.3032154675686
1185,20.02256764994039,19.95565587824041,20.153720446995326
1571,20.14386311050289,20.048626805139968,20.289084418746064
1536,20.071999427599785,19.96225369282258,20.246961006751427
1522,20.071034121823,19.982433591570175,20.189188053081562
1526,20.04375547351259,19.95916852084073,20.126444151907258
437,20.175141418872236,20.020427574105813,20.58084739633158
1523,20.10188861687978,19.976240475972492,20.270534733931225
449,20.116870942458608,19.984772090039222,20.40972446616179
1195,20.043824112789142,19.954894939781482,20.180812928734756
432,20.16681739262172,19.962751661028182,20.61064679282052
1194,20.03989108889384,19.957739609297708,20.159925044363764
1580,20.149685090800883,20.017517571630776,20.248765608843634
1537,20.076315523841963,19.963388513310164,20.224438706850677
1604,20.20063241322835,20.057311724993138,20.309415387172326
920,20.188206759743068,20.044592600283416,20.444963596178138
436,20.16417748587472,20.007242236818588,20.410279035568237
428,20.33861988988416,20.091380809915478,20.400970722066944
429,20.29726505279541,20.0185395396033,20.413726296535756
1152,20.202203345298766,20.00194592475891,20.358526134490965
434,20.12130414644877,19.980461645126343,20.49760389328003
433,20.125863393147785,19.961246592203775,20.469931513468424
1574,20.076761389678378,19.977636103360158,20.17808788227585
910,20.22634881353744,20.009401218970414,20.437581772084737
1147,19.98958876473563,19.951824878510976,20.101196652367
1154,20.08603572845459,19.95837074976701,20.295435529488785
1524,20.070810552888315,19.962348731280546,20.244565061747736
1151,20.11152453382476,19.968220782881023,20.396274342256433
1598,20.05121038780838,19.96267948775995,20.185684204101562
898,20.280712207158405,20.01323326428731,20.38189164797465
1538,20.149994055430096,19.980156315697563,20.336663987901474
1599,20.09179298741043,19.989235580347145,20.259267248165834
1591,20.078935962253148,19.960955344306097,20.18529264662001
608,20.029830483829272,19.952282681184656,20.26493033240823
1592,20.05157142324546,19.97107281635717,20.171814810369433
600,20.035509310270612,19.953706540559466,20.187508097866125
1594,20.090435557895237,19.977952745225693,20.23901632097032
1593,20.15764749967135,20.004893963153545,20.233709041888897
601,20.102240085601807,19.96671451221813,20.238423217426647
1588,20.12214322090149,20.0134539604187,20.259258270263672
609,20.019376754760742,19.95421012242635,20.23249093691508
1153,20.112390644458944,19.97435703344046,20.349869711473843
1589,20.14155605861119,20.017648515247163,20.241472743806384
1146,20.061959378262785,19.97557700948512,20.21174170108552
1601,20.037448351500466,19.959897807387055,20.183891671602844
1602,20.100438592372797,19.998534774780275,20.264196200248524
1597,20.105938555830615,19.999657711740266,20.209166122695148
1148,20.09488989788553,19.963868315323538,20.182413980235225
610,20.055463625037152,19.95158925263778,20.342334332673445
1596,0.0,0.0,0.0
911,20.10079672914114,19.975790213353886,20.312331454354045
1163,20.05826589144193,19.964821771474984,20.239657915555515
612,20.114916308172816,19.95694482737574,20.322401638688714
1176,20.0646915435791,19.955762284377524,20.403992712086644
614,20.202664375305176,19.9618500419285,20.414841237275496
909,20.22220059385394,20.0504942865655,20.47806574377683
1160,20.11337994720976,20.009696507858017,20.28929768578481
1159,20.083954996137475,19.98916933429775,20.28586777644371
1191,20.075662877437843,19.983134290597736,20.19978012307717
905,20.33795849815671,20.099028229435564,20.51806571266868
912,20.209920707501862,20.051191962392707,20.424097136447305
915,20.104674299793132,19.968659914456882,20.329451916485848
862,20.261760648790297,20.040965447059044,20.402584977202363
1157,20.212703069051106,20.037719779544407,20.380679660373264
1166,20.066571718038514,19.98370756104935,20.244009234184443
1158,20.210778451734974,20.02559212715395,20.34921676881852
1156,20.12138885106796,20.02352704757299,20.335884192051033
1548,20.14900988170079,20.049377952303207,20.25756228991917
1155,20.12338357813218,20.03300375096938,20.307227359098547
1550,20.163702258626923,20.011957095779536,20.32493461725366
1551,20.164692329148114,20.039634736917787,20.324803869603045
1553,20.055045664310455,19.988825917243958,20.12166142463684
865,20.323188874029345,20.068635079168505,20.580793180773334
864,20.448218879349735,20.10832860054226,20.618426926639103
1142,20.171205066499255,20.058525948297408,20.24751935686384
913,20.143617412779065,20.036845652262368,20.300980938805473
942,20.43598930281822,20.191226188582604,20.561793818618312
604,20.416442414634247,20.282680103921482,20.632876094589886
951,20.493160652903327,20.262082741323827,20.681401126152647
938,20.42720535879808,20.21561347993083,20.666101503174335
941,20.407985659206616,20.230212099411908,20.678213736590216
1495,20.43194365919682,20.30409334416975,20.680261846174275
647,20.4151530121312,20.122096957582414,20.668909188472863
620,20.45605658501694,20.23353892257533,20.645472792006032
957,20.414104651674002,20.18556258687571,20.57813895068406
642,20.479596773783367,20.26377010345459,20.62798942459954
196,20.38182509414793,20.237488679059847,20.613966213436576
960,20.48352325393493,20.240626496004772,20.679857035717333
962,20.423074772483425,20.198880346197832,20.60094535978217
638,20.473940124511717,20.26010892868042,20.65027540206909
1380,20.371172004275852,20.24054193496704,20.562065610179193
173,20.450942803692342,20.300364728005516,20.615862814795893
965,20.42219622789231,20.26941225170034,20.633844257456012
176,20.450789478846957,20.230794852120535,20.579430607386996
197,20.29415987977887,20.139878055836895,20.52517065671411
170,20.419289225155545,20.19495132288982,20.59123094303092
198,20.36518882302677,20.193648170022403,20.58672498254215
975,20.36530272960663,20.174845091501872,20.56186358133952
180,20.37416554619284,20.187198414522058,20.548745346069335
846,20.39911222800934,20.225061793979123,20.552681909190664
184,20.390713598875873,20.14323767940555,20.565573059352097
977,20.3133243170891,20.159929649605935,20.522147874147194
155,20.375093278430757,20.141522657303582,20.582570666358585
183,20.46596278463091,20.305296216692245,20.609422819955007
982,20.26644401550293,20.14472946166992,20.467594146728516
983,20.329724566141763,20.18939946492513,20.427245330810546
1498,20.324489161916024,20.1802544976673,20.552403930329927
984,20.31807839870453,20.140576124191284,20.508124113082886
988,20.415590455001546,20.223450908712024,20.60525637976925
207,20.308587392171223,20.144519923283504,20.54747513991136
1501,20.45606931385241,20.247431333441483,20.649105112176194
649,20.44722058222844,20.247772510235126,20.570472974043625
